年月日,up_down,Open,High,Low,Close,Volume,Turnover rate,Market capitalization,ln_past_return,PE ratio,Dividend yield,ROA,ROE,EBT Margin,Net profit margin growth rate,Current ratio,Quick ratio,D/E ratio,Share capital,Retained earnings,TW_Index,SP_500,Semi,NASDAQ,XLK,QQQ,Fed_interest_rate,TW_unemployment_rate,TW_gdp,TW_economic_index,Rediscount_Rate,Secured_Loan_Rate,1M_Deposit_Rate,1Y_Deposit_Rate,Base_Loan_Rate,Overnight_Weighted_Rate,Commercial_Paper_Rate,10Y_Gov_Bond_Rate,Overall_Index,Food,Clothing,Housing,Transport_Communication,Healthcare,Education_Recreation,Miscellaneous
2019-10-30 00:00:00,0,14.7,14.7,14.35,14.4,61233,0.5223,168830,-0.692,45.5349,4.0965,0.68,1.24,5.24,105.69,232.48,158.61,82.42,117243187,57789005,11380.28027,3036.889893,1662.459961,8276.849609,83.20999908,196.0399933,1.83,3.77,4942469,19,1.375,1.75,0.6,1.04,2.631,0.177,0.57,0.7,98.75,98.52,104.15,98.5,97.03,99.15,99.97,98.24
2019-10-31 00:00:00,0,14.35,14.35,13.9,14,97117,0.8283,164140,-2.8171,44.27,4.2135,0.68,1.24,5.24,105.69,232.48,158.61,82.42,117243187,57789005,11358.70996,3046.77002,1661.459961,8303.980469,83.72000122,196.9900055,1.83,3.77,4942469,19,1.375,1.75,0.6,1.04,2.631,0.177,0.57,0.7,98.75,98.52,104.15,98.5,97.03,99.15,99.97,98.24
2019-11-01 00:00:00,1,14.15,14.55,14.1,14.5,93849,0.8005,170003,3.5091,45.8511,4.0682,0.68,1.24,5.24,105.69,232.48,158.61,82.42,117243187,57789005,11399.53027,3037.560059,1651.219971,8292.360352,83.66999817,197.0800018,1.83,3.73,4942469,24,1.375,1.75,0.6,1.04,2.631,0.176,0.54,0.69,98.35,97.64,101.73,98.49,96.95,99.39,99.29,98.37
2019-11-04 00:00:00,1,14.5,14.8,14.5,14.65,94378,0.805,171761,1.0292,46.3254,4.0266,0.68,1.24,5.24,105.69,232.48,158.61,82.42,117243187,57789005,11556.84961,3037.560059,1651.219971,8292.360352,83.66999817,197.0800018,1.83,3.73,4942469,24,1.375,1.75,0.6,1.04,2.631,0.176,0.54,0.69,98.35,97.64,101.73,98.49,96.95,99.39,99.29,98.37
2019-11-05 00:00:00,0,14.65,14.7,14.4,14.5,53488,0.4562,170003,-1.0292,45.8511,4.0682,0.68,1.24,5.24,105.69,232.48,158.61,82.42,117243187,57789005,11644.03027,3078.27002,1726.920044,8433.200195,85.11000061,200.1000061,1.83,3.73,4942469,24,1.375,1.75,0.6,1.04,2.631,0.176,0.54,0.69,98.35,97.64,101.73,98.49,96.95,99.39,99.29,98.37
2019-11-06 00:00:00,0,14.55,14.55,14.3,14.5,52059,0.444,170003,0,45.8511,4.0682,0.68,1.24,5.24,105.69,232.48,158.61,82.42,117243187,57789005,11653.07031,3074.620117,1730.150024,8434.679688,85.01000214,200.2100067,1.83,3.73,4942469,24,1.375,1.75,0.6,1.04,2.631,0.176,0.54,0.69,98.35,97.64,101.73,98.49,96.95,99.39,99.29,98.37
2019-11-07 00:00:00,0,14.5,14.55,14.2,14.25,44219,0.3772,167072,-1.7392,45.0605,4.1396,0.68,1.24,5.24,105.69,232.48,158.61,82.42,117243187,57789005,11606.55957,3076.780029,1715.670044,8410.629883,84.97000122,199.7599945,1.83,3.73,4942469,24,1.375,1.75,0.6,1.04,2.631,0.176,0.54,0.69,98.35,97.64,101.73,98.49,96.95,99.39,99.29,98.37
2019-11-08 00:00:00,0,14.35,14.4,14.2,14.25,24415,0.2082,167072,0,45.0605,4.1396,0.68,1.24,5.24,105.69,232.48,158.61,82.42,117243187,57789005,11579.54004,3085.179932,1727.680054,8434.519531,85.63999939,200.4299927,1.83,3.73,4942469,24,1.375,1.75,0.6,1.04,2.631,0.176,0.54,0.69,98.35,97.64,101.73,98.49,96.95,99.39,99.29,98.37
2019-11-11 00:00:00,0,14.3,14.35,14.15,14.25,31160,0.2658,167072,0,45.0605,4.1396,0.68,1.24,5.24,105.69,232.48,158.61,82.42,117243187,57789005,11427.28027,3085.179932,1727.680054,8434.519531,85.63999939,200.4299927,1.83,3.73,4942469,24,1.375,1.75,0.6,1.04,2.631,0.176,0.54,0.69,98.35,97.64,101.73,98.49,96.95,99.39,99.29,98.37
2019-11-12 00:00:00,1,14.3,14.35,14.2,14.3,35026,0.2987,167658,0.3503,45.2187,4.1251,0.68,1.24,5.24,105.69,232.48,158.61,82.42,117243187,57789005,11520.37012,3087.01001,1727.589966,8464.280273,86.16000366,200.9600067,1.83,3.73,4942469,24,1.375,1.75,0.6,1.04,2.631,0.176,0.54,0.69,98.35,97.64,101.73,98.49,96.95,99.39,99.29,98.37
